id_posisi,posisi,id_status_posisi,jumlah_kuota,jumlah_terdaftar,program_studi,nama_perusahaan,nama_kabupaten,nama_provinsi,Batas
a0852dc4-1cd3-4721-9d52-2bdc6d5404de,Pengadminstrasi Perkantoran pada Subbagian TU Sesmenko Bagian Administrasi dan Tata Usaha,2,1,9,Sekretari,Kementerian Koordinator Bidang Politik dan Keamanan,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA,07/12/2025 23:59
a0852d5c-98dd-46e4-8a13-1a77912ba54a,Pengadministrasi Perkantoran pada Subbagian TU Menko Bagian Administrasi dan Tata Usaha,2,1,9,Sekretari,Kementerian Koordinator Bidang Politik dan Keamanan,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA,07/12/2025 23:59
a0852c54-98b9-450e-b141-4efe756f5286,Analis pada Kesatuan Bangsa,2,1,10,"Ilmu Hukum, Ilmu Politik, Administrasi Negara, Administrasi Publik",Kementerian Koordinator Bidang Politik dan Keamanan,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA,07/12/2025 23:59
a0852b7b-175c-468d-a744-4741dfd4e788,Analis pada Kekuatan Kemampuan dan Kerja Sama Pertahanan,2,1,9,"Ilmu Hukum, Ilmu Politik, Administrasi Negara, Administrasi Publik",Kementerian Koordinator Bidang Politik dan Keamanan,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA,07/12/2025 23:59
a0852b0a-0410-4c99-864f-b2f0a6d662e5,Analis pada Wilayah Perbatasan dan Tata Ruang Pertahanan,2,1,10,"Ilmu Hukum, Ilmu Politik, Administrasi Negara, Administrasi Publik",Kementerian Koordinator Bidang Politik dan Keamanan,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA,07/12/2025 23:59
a0852a93-6434-489c-85ad-db7c3ff4a1a4,Analis pada Intelijen Pertahanan,2,1,10,"Ilmu Hukum, Ilmu Politik, Administrasi Negara, Administrasi Publik",Kementerian Koordinator Bidang Politik dan Keamanan,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA,07/12/2025 23:59
a0852a1e-cabd-49f1-ab02-890082d28527,Analis pada Doktrin dan Strategi Pertahanan,2,1,9,"Ilmu Hukum, Ilmu Politik, Administrasi Publik, Administrasi Negara",Kementerian Koordinator Bidang Politik dan Keamanan,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA,07/12/2025 23:59
a085297a-eee2-4e2b-90fe-0a3f1d35b9b5,Pengadministrasi Perkantoran pada Sesdep Bidkoor Pertahanan Negara dan Kesatuan Bangsa,2,1,9,"Administrasi Perkantoran, Kearsipan, Desain Grafis, Manajemen",Kementerian Koordinator Bidang Politik dan Keamanan,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA,07/12/2025 23:59
a085285d-8f36-4c7a-a587-8709277cdc9f,Pengadministrasi Perkantoran pada Asdep Koor Penanganan Konflik dan Keamanan Transportasi,2,1,9,"Administrasi Negara, Administrasi Publik, Manajemen, Administrasi Perkantoran",Kementerian Koordinator Bidang Politik dan Keamanan,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA,07/12/2025 23:59
a0852702-15a8-4680-b0a9-1adbc3643d44,Asisten Analis Kebijakan pada Asdep Koor Penanganan Konflik dan Keamanan Transportasi,2,2,16,"Ilmu Hukum, Ilmu Politik, Ilmu Administrasi Publik, Ilmu Administrasi Negara",Kementerian Koordinator Bidang Politik dan Keamanan,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA,07/12/2025 23:59
